company_name,region,country,category,priority,email,greeting,specific_hardware,ask_type,company_note,contact_url,source_url,status,next_action,notes
"Robu.in","India","India","Distributor and maker electronics","high","","Robu partnerships team","Arduino boards, Raspberry Pi accessories, motors, batteries, sensors, drone parts, 3D printing services","education pricing, sponsored bundle, local fulfillment","Robu is listed by Arduino as an authorized distributor in India and has broad robotics categories useful for student teams.","https://robu.in/contact-us/","https://store-usa.arduino.cc/pages/distributors","not_contacted","Submit support ticket and ask for education or institutional account manager","Good local fulfillment candidate for global partners."
"ThinkRobotics","India","India","Robotics and AI hardware distributor","high","support@thinkrobotics.com","ThinkRobotics team","NVIDIA Jetson kits, cameras, LiDARs, robot arms, ROS hardware","sample units, education discount, bulk pricing","ThinkRobotics carries advanced robotics, AI, camera, LiDAR, and robot arm hardware suitable for MakerWorks advanced tracks.","https://thinkrobotics.com/pages/contact-us-for-the-best-prices-and-support","https://thinkrobotics.com/pages/contact-us-for-the-best-prices-and-support","not_contacted","Email and request institutional pricing contact","Mention Mumbai lab and repeat purchasing potential."
"Robocraze","India","India","Robotics and electronics wholesale","high","Sales@robocraze.com","Robocraze sales team","Arduino, Raspberry Pi, sensors, STEM kits, motors, 3D printer parts","bulk discount, sample-before-bulk, sponsored team bundle","Robocraze has a bulk order page for education and electronics with dedicated sales contacts.","https://robocraze.com/pages/bulk-orders","https://robocraze.com/pages/bulk-orders","not_contacted","Email sales with India distributor template","MOQ is listed on their page, so lead with institutional pricing."
"Nex Robotics","India","India","Robotics platforms and education kits","high","","Nex Robotics team","FireBird V, robotics kits, research platforms, sensors","education partnership, sample platform, competition support","Nex Robotics is Navi Mumbai based and associated with FireBird V research platform designed by IIT Bombay CSE and Nex Robotics.","https://www.nex-robotics.com/contact-us","https://www.nex-robotics.com/contact-us","not_contacted","Use contact form or call","Strong local robotics credibility angle."
"rhydoLABZ","India","India","Embedded and robotics components","medium","sales@rhydolabz.com","rhydoLABZ sales team","robotics boards, sensors, Arduino-compatible kits, embedded modules","education pricing, in-kind parts, bulk discount","rhydoLABZ publishes sales and support emails and supplies embedded, IoT, robotics, Arduino, Raspberry Pi, and sensor products.","https://www.rhydolabz.com/index.php?route=information%2Fcontact","https://www.rhydolabz.com/index.php?route=information%2Fcontact","not_contacted","Email for lab account and education pricing","Also list info@rhydolabz.com as backup."
"Fab.to.Lab","India","India","Electronics and prototyping supplier","medium","store@fabtolab.com","Fab.to.Lab team","sensors, SBCs, robotics kits, radios, IoT parts","education discount, sample order, bulk pricing","Fab.to.Lab is a Bangalore supplier for product development, research, servicing labs, and electronics users.","https://fabtolab.com/index.php?route=information%2Fcontact","https://fabtolab.com/index.php?route=information%2Fcontact","not_contacted","Email with India distributor template","Email is shown as store at fabtolab dot com."
"Evelta","India","India","Electronic components supplier","medium","","Evelta team","7Semi sensors, GNSS RTK, development kits, motor drivers, cameras, LiDAR categories","samples, education pricing, Mumbai/Navi Mumbai fulfillment","Evelta is based in Navi Mumbai and carries development boards, sensors, electromechanical parts, and 3D printer categories.","https://evelta.com/contact-us/","https://evelta.com/contact-us/","not_contacted","Use RFQ/contact form","Good for nearby logistics."
"Numato Lab","India","India","FPGA, GPIO, relay, embedded modules","medium","sales@numato.com","Numato Lab sales team","FPGA boards, GPIO modules, relay modules, data acquisition modules","sample hardware, education discount, project collaboration","Numato is based in Bangalore and lists FPGA, embedded IO, relay, and GPIO modules with sales contact.","https://numato.com/contact/","https://numato.com/contact/","not_contacted","Email manufacturer template","Useful for advanced embedded and automation projects."
"ProtoCentral","India","India","Open-source biomedical sensor hardware","medium","","ProtoCentral team","HealthyPi, ECG, SpO2, BioZ, EDA, open-source biomedical sensor boards","sample units, student research collaboration","ProtoCentral builds open-source biomedical sensors in Bangalore and ships globally.","https://protocentral.com/","https://protocentral.com/","not_contacted","Use site contact route or LinkedIn","Good for robotics plus health-tech sensor projects."
"e-con Systems","India","India","Embedded vision and camera manufacturer","high","sales@e-consystems.com","e-con Systems sales team","NVIDIA Jetson cameras, depth cameras, USB/MIPI/GMSL camera modules","engineering sample, technical evaluation, student robotics showcase","e-con Systems is an India-headquartered OEM camera solution provider with robotics and NVIDIA Jetson camera offerings.","https://www.e-consystems.com/support.asp","https://www.e-consystems.com/support.asp","not_contacted","Email manufacturer template","Strong fit for edge AI robotics camera trials."
"STEMpedia","India","India","STEM and robotics education hardware","medium","","STEMpedia team","Quarky, PictoBlox, AI and robotics education kits","education partnership, bundle pricing, workshop collaboration","STEMpedia is listed by Arduino as an India education distributor.","https://thestempedia.com/","https://www.arduino.cc/education/partners/","not_contacted","Use website contact or LinkedIn","Potential peer education ecosystem partner."
"STEMROBO","India","India","STEM education hardware and labs","medium","","STEMROBO team","robotics kits, lab hardware, AI and IoT education kits","education partnership, hardware bundle, lab collaboration","STEMROBO is listed by Arduino as an India education distributor.","https://www.stemrobo.com/","https://www.arduino.cc/education/partners/","not_contacted","Use website contact or LinkedIn","Frame as Mumbai student team collaboration."
"Inker Robotics","India","India","Robotics education and training hardware","medium","","Inker Robotics team","Arduino education kits, robotics learning hardware","education partnership, competition support","Inker Robotics is listed by Arduino as an India education distributor.","https://inkerrobotics.com/","https://www.arduino.cc/education/partners/","not_contacted","Use website contact or LinkedIn","Potential partner rather than donation target."
"Raspberry Pi","Global","United Kingdom","Single-board computers and microcontrollers","high","","Raspberry Pi sales team","Raspberry Pi 5, Compute Module, Pico, camera modules, displays","education partnership, reseller introduction, sample kits","Raspberry Pi directs sales enquiries to Approved Resellers first and provides a sales contact form for further support.","https://www.raspberrypi.com/contact/","https://www.raspberrypi.com/contact/","not_contacted","Use contact form and mention India reseller route","Good for education story and student adoption."
"Arduino","Global","Italy","Open-source hardware and education kits","high","","Arduino education partnerships team","Arduino UNO, Nano, Portenta, Nicla, Alvik, education kits","education partner intro, sample kits, distributor support","Arduino publishes global authorized distributors and India education partners/distributors.","https://www.arduino.cc/education/partners/","https://store-usa.arduino.cc/pages/distributors","not_contacted","Contact through education/distributor channels","Use Robu/Robocraze route for India fulfillment."
"Espressif","Global","China","Wireless MCUs and dev kits","high","","Espressif DevRel or sales team","ESP32 dev kits, ESP32-P4, ESP32-S3, ESP RainMaker, beta SDKs","samples, beta firmware access, technical feedback","Espressif has contact routes for sales, distributors, technical inquiries, design review, and samples.","https://www.espressif.com/en/contact-us/technical-inquiries","https://www.espressif.com/en/contact-us/technical-inquiries","not_contacted","Use get-samples or sales form","Offer structured feedback on education and robotics use."
