email,college_name,greeting,college_note,contact_name,contact_role,phone,area,source_url,confidence,notes
placementcell@iitb.ac.in,"Indian Institute of Technology Bombay (IIT Bombay)","IIT Bombay Placement Office","IIT Bombay students are strong fits for deeper AI, robotics, embedded systems, design engineering, and applied research-oriented summer work at MakerWorks Lab.","Placement Office","Placement Office","+91 22 25767096 / 97","Powai","https://campus.placements.iitb.ac.in/static/2021/Placement_Brochure.pdf","high","Official brochure also lists pm.placement@iitb.ac.in and pic.placement@iitb.ac.in."
tpo@ves.ac.in,"Vivekanand Education Society's Institute of Technology (VESIT)","VESIT Training and Placement Team","VESIT students with interests in software, AI, electronics, and applied systems can use the summer roles to build real project depth through lab work and prototype iteration.","Training and Placement","Placement Cell","022-61532586","Chembur","https://vesit.ves.ac.in/placements/procedure","high","Official placement pages list this TPO email and phone."
tpo@frcrce.ac.in,"Fr. Conceicao Rodrigues College of Engineering (Fr. CRCE)","Fr. CRCE Training and Placement Team","Fr. CRCE students across Computer, AI and Data Science, Electronics, and Mechanical can get practical summer exposure through MakerWorks Lab projects in robotics, AI, product design, and hands-on engineering.","Mr. Mahesh R. Sharma","Training and Placement Officer","+91 22 67114045 / 9969813735","Bandra West","https://frcrce.ac.in/campus-placements/","high","Official campus placements page lists the TPO email."
tcet.tnp@thakureducation.org,"Thakur College of Engineering and Technology (TCET)","TCET Training and Placement Team","TCET students interested in AI, robotics, embedded systems, and product engineering can use the summer period to work on real projects and build stronger applied engineering portfolios.","Mr. Zahir Aalam","Training and Placement Officer","022-67308176","Kandivali East","https://www.tcetmumbai.in/trainingPlacementContact.html","high","Official training and placement contact page."
tpo@dbit.in,"Don Bosco Institute of Technology (DBIT), Mumbai","DBIT Training and Placement Team","DBIT students can use MakerWorks Lab's summer roles to connect classroom engineering with live AI, robotics, hardware, and prototype-building assignments.","BharatKumar Bhandary","Head Placement, DBIT T&P Cell","+91 7738393020 / +91 9324083020","Kurla West","https://placement.dbit.in/","high","Official placement site also lists dbittpocell@gmail.com."
tpo@sfit.ac.in,"St. Francis Institute of Technology (SFIT)","SFIT Training and Placement Team","SFIT students in computing, electronics, and related engineering branches may find these summer roles useful for building real-world engineering confidence through lab-based projects.","Mr. Wilson Pinto","Head - Training and Placement","9820784678","Borivali West","https://sfit.ac.in/Placement-contact.php","high","Official page also lists wilsonpinto@sfit.ac.in."
rgit.tp@mctrgit.ac.in,"Rajiv Gandhi Institute of Technology (RGIT), Mumbai","RGIT Training and Placement Team","RGIT students can use this summer opportunity to gain hands-on exposure to AI, robotics, embedded systems, product building, and technical execution at MakerWorks Lab.","Prof. Gunwant K. Shende","Training and Placement Officer","9892082319 / 7977877008 / 7506518886","Andheri West","https://www.mctrgit.ac.in/placement-statistics","high","Official page also lists gunwant.shende@mctrgit.ac.in."
mhsstpo@mhssce.ac.in,"M. H. Saboo Siddik College of Engineering","M. H. Saboo Siddik Training and Placement Team","M. H. Saboo Siddik students can use MakerWorks Lab's summer openings to gain practical experience in AI, robotics, electronics, software, and applied product engineering.","Dr. Sha Husain S. Maghrabi","Head, Training and Placement","+91 22 23005896","Byculla","https://www.mhssce.ac.in/Placement%20Contact.php","high","Official placement contact page."
tpo@eng.rizvi.edu.in,"Rizvi College of Engineering","Rizvi College of Engineering Training and Placement Team","Rizvi engineering students can use the summer roles to work on real AI, robotics, hardware, and product-building tasks while developing practical engineering skills.","Training and Placement","TPO contact","9819393866","Bandra West","https://eng.rizvi.edu.in/contact-us/","high","Official contact page lists this TPO email."
Naveen.k@xavier.ac.in,"Xavier Institute of Engineering (XIE)","Xavier Institute of Engineering Placement Team","XIE students can make strong use of summer by applying classroom learning to real engineering tasks across AI, robotics, hardware, software, and product prototyping.","Mr. Naveen Kukreja","Placement Contact","+91 7021942027 / 7045414227","Mahim","https://www.xavier.ac.in/Placement%20Contact.php","high","Official placement contact page."
tpo@pvppcoe.ac.in,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering (PVPP COE)","PVPP COE Training and Placement Team","PVPP COE students can use MakerWorks Lab's summer roles to learn through real project execution in AI, robotics, electronics, software, and engineering communication.","Mr. Swapnil Desai","Head - Training and Placement","8087039494","Sion-Chunabhatti","https://www.pvppcoe.ac.in/_/placement","high","Official page also lists swapnil@pvppcoe.ac.in."
office@umit.sndt.ac.in,"Usha Mittal Institute of Technology (UMIT), SNDT Women's University","UMIT Training and Placement Team","UMIT students can use the summer roles to build practical engineering confidence through AI, robotics, product design, electronics, and software projects in a hands-on lab environment.","Training and Placement Cell","Training and Placement","022-26606040","Santacruz West","https://www.umit.ac.in/placements","medium","Official placement page lists this institute email, but not a placement-specific email."
principal@vit.edu.in,"Vidyalankar Institute of Technology (VIT), Wadala","Vidyalankar Institute of Technology Team","Vidyalankar students interested in AI, electronics, software, biomedical engineering, and product-building can use the summer roles for real engineering exposure and portfolio-building.","Institute office","General institute contact","+91 22 24161126","Wadala East","https://vidyalankar.com/vidyalankar-institute-of-technology.php","medium","Official page lists the institute email; I did not find a placement-specific email on the official page."
ace@atharvacoe.ac.in,"Atharva College of Engineering","Atharva College of Engineering Team","Atharva engineering students can use MakerWorks Lab's summer roles to practice real engineering through AI, robotics, hardware, software, and prototype-building work.","Institute office","General institute contact","91-022-40294949","Malad West","https://atharvacoe.ac.in/contact-us/","medium","Official contact page lists this institute email; I did not find a placement-specific email on the official page."
info.tech@somaiya.edu,"K J Somaiya Institute of Technology, Sion","K J Somaiya Institute of Technology Team","K J Somaiya Institute of Technology students in Computer, IT, Electronics, EXTC, and AI and Data Science can use the summer roles to gain applied project experience at MakerWorks Lab.","Institute office","General institute contact","+91 22 24061408 / 24061403","Sion East","https://tnpportal.kjsieit.in/aboutus","medium","Official TNP portal page lists this institute email; I did not find a placement-specific email on the official page."
drkalbande@spit.ac.in,"Sardar Patel Institute of Technology (SPIT)","Dr. Kalbande and the SPIT IdeaLab Team","SPIT students working on AI, computer science, machine learning, embedded systems, and interdisciplinary prototyping can use MakerWorks Lab's summer roles for applied AI research and robotics-linked project execution.","Dr. Dhananjay Kalbande","Faculty Co-coordinator, SPIT IdeaLab","+91 22 69846900","Andheri West","https://www.spit.ac.in/idealab/","high","Official SPIT IdeaLab page lists this faculty contact."
ysrao@spit.ac.in,"Sardar Patel Institute of Technology (SPIT)","Dr. Rao and the SPIT IdeaLab Team","SPIT students using the IdeaLab ecosystem and EXTC labs may find MakerWorks Lab's summer roles useful for autonomous robotics, electronics, microcontroller work, and rapid hardware prototyping.","Dr. Y. S. Rao","Faculty Coordinator, SPIT IdeaLab","+91 22 69846900","Andheri West","https://www.spit.ac.in/idealab/","high","Official SPIT IdeaLab page lists this faculty contact."
reena_kumbhare@spit.ac.in,"Sardar Patel Institute of Technology (SPIT)","Dr. Sonkusare and the SPIT EXTC Team","SPIT EXTC students interested in circuit design, embedded systems, PCB work, sensors, and robotics hardware can use MakerWorks Lab's summer roles for practical electronics and prototyping experience.","Dr. Reena Sonkusare","Head, Electronics and Telecommunication Department","+91 22 69846900","Andheri West","https://extc.spit.ac.in/","high","Official SPIT EXTC page/search result lists this HOD contact."
managertbi@spit.ac.in,"Sardar Patel Technology Business Incubator","SP-TBI Team","SP-TBI's startup-oriented student builders and incubated teams may find MakerWorks Lab's summer roles useful for rapid prototyping, technical operations, product thinking, and education technology growth.","SP-TBI Manager","Incubator contact","+91 8291842971","Andheri West","https://www.sptbi.com/","high","Official SP-TBI page publishes this current contact; used instead of the older third-party Siddhartha Chandra listing."
chavanbs@dbit.in,"Don Bosco Institute of Technology (DBIT), Mumbai","Mr. Chavan and the DBIT Mechanical Engineering Team","DBIT mechanical and mechatronics students interested in CAD, robot assembly, fabrication, and competition-style hardware builds can use MakerWorks Lab's summer roles for hands-on robotics and prototyping work.","Mr. Buddhipriy S. Chavan","Assistant Professor, Mechanical and Mechatronics","022-25042424","Kurla West","https://mech.dbit.in/faculty/faculty_profile.html","high","Official DBIT Mechanical faculty profile lists this contact."
johnson@dbit.in,"Don Bosco Institute of Technology (DBIT), Mumbai","Mr. Varghese and the DBIT Mechanical Engineering Team","DBIT mechanical students with interests in product design, 3D printing, rapid model prototyping, and structural mechatronics can use MakerWorks Lab's summer roles for applied design engineering experience.","Mr. Nellisery Johnson Varghese","Assistant Professor, Mechanical Engineering","022-25042424","Kurla West","https://mech.dbit.in/faculty/faculty_profile.html","high","Official DBIT Mechanical faculty profile lists this contact."
ssmanohar@dbit.in,"Don Bosco Institute of Technology (DBIT), Mumbai","Mr. Manohar and the DBIT Mechanical Engineering Team","DBIT students interested in CAD modeling, product styling, 3D printing, enclosure design, and hands-on fabrication can use MakerWorks Lab's summer roles for real prototype iteration.","Mr. Shreeprasad Shreeram Manohar","Assistant Professor, Mechanical Engineering","022-25042424","Kurla West","https://mech.dbit.in/faculty/faculty_profile.html","high","Official DBIT Mechanical faculty profile lists this contact."
j_hansa@spce.ac.in,"Sardar Patel College of Engineering (SPCE)","Dr. Jeswani and the SPCE Student Project Coordination Team","SPCE students active in faculty-guided technical initiatives, mechanical design, sustainability engineering, and student-led project work may find MakerWorks Lab's summer roles useful for practical product-building experience.","Dr. Hansa Jeswani","Chief Faculty Coordinator, SPSGIC Chapter","+91 9869120501","Andheri West","https://www.spce.ac.in/SPSGIC.php","high","Official SPCE SPSGIC page lists this faculty contact; note SPSGIC is sustainability-focused rather than a robotics club."
haseen_shaikh@spce.ac.in,"Sardar Patel College of Engineering (SPCE)","Prof. Shaikh and the SPCE Mechanical Engineering Team","SPCE mechanical students interested in CAD, simulation, 3D printing, structural design, and mechatronics routing can use MakerWorks Lab's summer roles for hands-on design engineering and prototyping.","Prof. Haseen Shaikh","Faculty Coordinator, Mechanical Department","+91 9028178192","Andheri West","https://www.spce.ac.in/SPSGIC.php","high","Official SPCE SPSGIC page lists this mechanical faculty contact."
